Emotion,clean_text
fear,libel lawyers nervous word lie implies person said something knew untrue
neutral,many
joy,summer received grade cards ta expected better computer science looked card got ecstatic
fear,began libel proceedings uk singapore government privy council expressed deep disquiet treatment government see
fear,edward concealed dismay
neutral,fair enough give straight bully
fear,agitated tears
sadness,awakened gives rise fear god sorrow sin hope forgiveness love god leah first four children
fear,note said imro concerned might similar undetected shenanigans occupational pension schemes
fear,day alone home coming home school know everyone else gone kept waiting come back nobody came getting late terrified
joy,cackled slapped knees bent double wheezing delight witticisms
anger,knows might come later
joy,starving stray transformed contented house cat
neutral,bye
anger,korean judges cheating
joy,elation witnessing birth may followed sense disorientation displaced person
joy,shown plate various excited colleagues resumed holiday
neutral,true buy record player
joy,better
fear,dream anything terrifying used fear rest day dream might come true beaten eaten snake
anger,roommate rude
anger,brothers cruel boyfriend flat mate bent back one brother fingers fault
sadness,lily broke last week fact dumped
anger,work journal lay came nothing due thoughtlessness colleagues
anger,got quite angry impossibility clarissa given instructions
sadness,feel like maybe coming flu
fear,relationship first girlfriend broke realized late
neutral,photograph
joy,congratulations normal handicap
joy,honest order earth continue habitable place going become interested environment
joy,meeting two friends seen years special people
joy,passed standard exams jumped rolled ground
anger,one night family members sitting front corridor house gentleman looking person came father client come bribe father connection proceeding case father refusal abused father brother could control temper rushed
neutral,two tickets please much
joy,merry christmas
anger,friend misunderstood
sadness,losing boyfriend second time friend fell love thing happened months earlier another boyfriend
fear,felt frightened robber broke house threatened shoot father part money looking man hand trigger
joy,dream close friend several stone houses new territories villages much furniture took see fields never seen several inches clear water sunshine reflected wanted sit among short green plants fields afraid treading plants death friend said die sat happily trousers get wet
fear,walking along dog barking following
anger,incident occurred going home girlfriend way man named banda grabbed girlfriend presence really angry result threw stones ran away
fear,think funny terrified
anger,yes find sweater laundry sent yesterday washing done find swatter missing
joy,letter father usually write
anger,lily already told
anger,annoyed person higher asked particular job done job
anger,put blame scored third goal match
anger,used go chief asking doubt job care answer leaving speaking alone
fear,saw accident woman run died spot
sadness,dear friend removed division whre work
neutral,positive
fear,concerned seven year old son
sadness,feeling well
neutral,joke
anger,little brother mine damaged cassette
fear,ringing guy teen idol auckland really scared know say
anger,spokesman union got quarrel colleague acting disloyally sustained period time
neutral,ones age close relatives older spend much time used know younger cousins well older ones
